Student_Id;First_Name;Last_Name;Nationality;Major;Gender;Honor_Code_Violation
10995;Sally;Smith;USA;Anthropology;Female;Yes
10996;Bill;Johnson;USA;Biology;Male;No
10997;Tom;Avery;USA;Women, Gender and Sexuality Studies;Male;No
10998;Aaron;Smith;USA;American Studies;Male;No
10999;Abdul;Johnson;Korean;Art History;Male;No
11000;Abe;Williams;Indonesian;Business Administration;Male;No
11001;Abel;Jones;Russian;Art, Studio;Male;No
11002;Abraham;Brown;USA;Theatre;Male;No
11003;Abram;Davis;USA;Biochemistry and Molecular Biology;Male;No
11004;Adalberto;Miller;USA;Chemistry;Male;No
11005;Adam;Wilson;USA;Chinese Studies;Male;No
11006;Adan;Moore;USA;Economics (Arts & Sciences);Male;No
11007;Adolfo;Taylor;USA;Physics;Male;No
11008;Adolph;Anderson;USA;Art History;Male;No
11009;Adrian;Thomas;USA;Combined major in Classics;Male;No
11010;Agustin;Jackson;USA;Chemistry;Male;No
11011;Ahmad;White;USA;American Studies;Male;No
11012;Ahmed;Harris;USA;Women, Gender and Sexuality Studies;Male;No
11013;Al;Martin;USA;Chemistry;Male;No
11014;Alan;Thompson;USA;Chemistry;Male;No
11015;Albert;Garcia;USA;Chemistry;Male;No
11016;Alberto;Martinez;USA;Chemistry;Male;No
11017;Alden;Robinson;USA;Theatre;Male;No
11018;Aldo;Clark;USA;Chemistry;Male;No
11019;Alec;Rodriguez;USA;Chemistry;Male;No
11020;Alejandro;Lewis;USA;Psychology;Male;No
11021;Alex;Lee;USA;Geography;Male;No
11022;Alexander;Walker;USA;Accounting;Male;No
11023;Alexis;Hall;USA;Mathematics;Male;No
11024;Alfonso;Allen;USA;Mathematics;Male;No
11025;Alfonzo;Young;USA;Classical Civilization;Male;No
11026;Alfred;Hernandez;USA;Combined major in German;Male;No
11027;Alfredo;King;USA;Philosophy;Male;No
11028;Ali;Wright;USA;American Studies;Male;No
11029;Allan;Lopez;USA;Psychology;Male;No
11030;Allen;Hill;USA;Film Studies;Male;No
11031;Alonso;Scott;USA;Chinese and International Business;Male;No
11032;Alonzo;Green;USA;Spanish (see LAIS);Male;No
11033;Alphonse;Adams;USA;Combined major in Greek;Male;No
11034;Alphonso;Baker;USA;Biology;Male;No
11035;Alton;Gonzalez;USA;Biology;Male;No
11036;Alva;Nelson;USA;Biology;Male;No
11037;Alvaro;Carter;USA;Theatre;Male;No
11038;Alvin;Mitchell;USA;Biology;Male;No
11039;Amado;Perez;USA;Biology;Male;No
11040;Ambrose;Roberts;USA;Biology;Male;No
11041;Amos;Turner;USA;Biology;Male;No
11042;Anderson;Phillips;USA;American Studies;Male;No
11043;Andre;Campbell;USA;Rhetoric and Communication Studies;Male;No
11044;Andrea;Parker;USA;Physics - Interdisciplinary;Male;No
11045;Andreas;Evans;Korean;Accounting;Male;Yes
11046;Andres;Edwards;USA;Religious Studies;Male;No
11047;Andrew;Collins;USA;Women, Gender and Sexuality Studies;Male;No
11048;Andy;Stewart;USA;Philosophy;Male;No
11049;Angel;Sanchez;Spanish;Classical Civilization;Male;No
11050;Angelo;Morris;Spanish;French;Male;No
11051;Anibal;Rogers;Spanish;Rhetoric and Communication Studies;Male;No
11052;Anthony;Reed;Spanish;Spanish (see LAIS);Male;No
11053;Antione;Cook;Spanish;Italian Studies;Male;No
11054;Antoine;Morgan;Spanish;Philosophy;Male;No
11055;Anton;Bell;Spanish;Combined major in French;Male;No
